ark_id,collection,acquisition_type_en,area_cm2,area_quartile,collection_age_band,is_on_display,creation_year
cl010053115,Département des Peintures,Historic Collection,,,,0,1688.0
cl010053116,Département des Peintures,Gift,,,100+,0,1688.0
cl010053118,Département des Peintures,Other,,,100+,0,1824.0
cl010053119,Département des Peintures,Gift,,,100+,0,1703.0
cl010053120,Département des Peintures,Gift,,,100+,0,1704.0
cl010053121,Département des Peintures,Other,,,,0,1850.0
cl010053122,Département des Peintures,Gift,,,100+,0,1652.0
cl010053123,Département des Peintures,Historic Collection,,,100+,0,1764.0
cl010053124,Département des Peintures,Other,,,,0,1764.0
cl010053125,Département des Peintures,Gift,,,,0,1775.0
cl010053126,Département des Peintures,Other,,,,0,1761.0
cl010053127,Département des Peintures,Other,,,,0,1767.0
cl010053128,Département des Peintures,Other,,,100+,0,1850.0
cl010053134,Département des Peintures,Historic Collection,,,,0,1722.0
cl010053135,Département des Peintures,Other,,,,0,1733.0
cl010053136,Département des Peintures,Historic Collection,,,,0,1764.0
cl010053137,Département des Peintures,Other,,,100+,0,1709.0
cl010053139,Département des Peintures,Historic Collection,,,,0,1735.0
cl010053140,Département des Peintures,Historic Collection,,,,0,1725.0
cl010053141,Département des Peintures,Other,,,,0,1744.0
cl010053142,Département des Peintures,Historic Collection,,,,0,1711.0
cl010053143,Département des Peintures,Historic Collection,,,,0,1767.0
cl010053144,Département des Peintures,Other,,,,0,1686.5
cl010053145,Département des Peintures,Purchase,,,,0,1650.0
cl010053146,Département des Peintures,Historic Collection,,,100+,0,1673.0
cl010053147,Département des Peintures,Other,,,,0,1756.0
cl010053148,Département des Peintures,Historic Collection,,,,0,1772.0
cl010053149,Département des Peintures,Other,,,,0,1769.0
cl010053151,Département des Peintures,Historic Collection,,,,0,1750.0
cl010053152,Département des Peintures,Historic Collection,,,,0,1785.0
cl010053153,Département des Peintures,Historic Collection,,,100+,0,1689.0
cl010053154,Département des Peintures,Gift,,,,0,1650.0
cl010053156,Département des Peintures,Historic Collection,,,,0,1761.0
cl010053157,Département des Peintures,Historic Collection,,,100+,0,1718.0
cl010053158,Département des Peintures,Historic Collection,,,,0,1705.0
cl010053159,Département des Peintures,Historic Collection,,,100+,0,1780.0
cl010053160,Département des Peintures,Historic Collection,,,,0,1775.0
cl010053161,Département des Peintures,Historic Collection,,,100+,0,1787.0
cl010053162,Département des Peintures,Historic Collection,,,,0,1679.0
cl010053165,Département des Peintures,Other,,,,0,1650.0
cl010053166,Département des Peintures,Historic Collection,,,100+,0,1766.0
cl010053167,Département des Peintures,Other,,,100+,0,1750.0
cl010053169,Département des Peintures,Other,,,,0,1750.0
cl010053170,Département des Peintures,Historic Collection,,,,0,1670.0
cl010053173,Département des Peintures,Other,,,,0,1750.0
cl010053177,Département des Peintures,Purchase,,,,0,1625.0
cl010053178,Département des Peintures,Other,,,,0,1763.0
cl010053180,Département des Peintures,Historic Collection,,,,0,1650.0
cl010053181,Département des Peintures,Historic Collection,,,,0,1650.0
cl010053184,Département des Peintures,Purchase,,,,0,1500.0
cl010053187,Département des Peintures,Purchase,,,,0,1450.0
cl010053188,Département des Peintures,Purchase,,,61-80,0,1750.0
cl010053190,Département des Peintures,Purchase,,,,0,1450.0
cl010053191,Département des Peintures,Purchase,,,,0,1450.0
cl010053192,Département des Peintures,Purchase,,,,0,1450.0
cl010053193,Département des Peintures,Purchase,,,,0,1550.0
cl010053194,Département des Peintures,Historic Collection,,,,0,1550.0
cl010053195,Département des Peintures,Purchase,,,,0,1550.0
cl010053198,Département des Peintures,Bequest,,,,0,1850.0
cl010053199,Département des Peintures,Bequest,,,,0,1850.0
cl010053201,Département des Peintures,Bequest,,,,0,1726.0
cl010053202,Département des Peintures,Bequest,,,,0,1726.0
cl010053203,Département des Peintures,Gift,,,,0,1850.0
cl010053204,Département des Peintures,Other,,,100+,0,1850.0
cl010053205,Département des Peintures,Historic Collection,,,,0,1650.0
cl010053206,Département des Peintures,Historic Collection,,,,0,1650.0
cl010053207,Département des Peintures,Historic Collection,,,,0,1650.0
cl010053208,Département des Peintures,Historic Collection,,,,0,1650.0
cl010053209,Département des Peintures,Gift,,,,0,1750.0
cl010053210,Département des Peintures,Bequest,,,,0,1850.0
cl010053211,Département des Peintures,Bequest,,,,0,1750.0
cl010053213,Département des Peintures,Gift,,,100+,0,1716.0
cl010053214,Département des Peintures,Historic Collection,,,100+,0,1635.0
cl010053215,Département des Peintures,Historic Collection,,,100+,0,1651.0
cl010053216,Département des Peintures,Gift,,,100+,0,1650.0
cl010053217,Département des Peintures,Other,,,100+,0,1825.0
cl010053218,Département des Peintures,Bequest,,,,0,1750.0
cl010053219,Département des Peintures,Other,,,,0,1750.0
cl010053220,Département des Peintures,Other,,,100+,0,1850.0
cl010053221,Département des Peintures,Other,,,100+,0,1448.5
cl010053222,Département des Peintures,Purchase,,,100+,0,1350.0
cl010053226,Département des Peintures,Gift,,,,0,1767.0
cl010053227,Département des Peintures,Bequest,,,,0,1850.0
cl010053229,Département des Peintures,Gift,,,41-60,0,1916.0
cl010053231,Département des Peintures,Historic Collection,,,,0,1650.0
cl010053233,Département des Peintures,Historic Collection,,,,0,1650.0
cl010053239,Département des Peintures,Historic Collection,,,,0,1650.0
cl010053240,Département des Peintures,Gift,,,61-80,0,1855.0
cl010053243,Département des Peintures,Bequest,,,,0,1750.0
cl010053246,Département des Peintures,Purchase,,,,0,1729.0
